,ad_id,labels,labeler_userid,advertiser_id,campaign_id
3,277357,"['مهاجرت', 'کسب و کار']",jamesmp77,19894,101230
4,294859,['ارزدیجیتال'],leilamhrb,16699,103112
5,285178,['کسب و کار'],Aidameftah,20085,104233
6,298846,"['تناسب اندام', 'زیبایی', 'سلامت']",jamesmp77,18761,109362
7,303898,"['تناسب اندام', 'سلامت', 'زیبایی']",Aidameftah,23636,108968
8,304176,['ارزدیجیتال'],leilamhrb,36984,111426
9,255883,"['زیبایی', 'سلامت']",Aidameftah,13029,86010
10,303076,['هیچکدام'],jamesmp77,28240,110981
11,199508,['کسب و کار'],aliekhlassi,1028,61437
12,89788,"['مسکن', 'گردشگری', 'کسب و کار']",leilamhrb,3527,22939
13,303284,"['مردانه', 'پوشاک']",Aidameftah,26037,111087
14,286817,"['مسکن', 'مهاجرت']",jamesmp77,30658,105016
15,290469,['کسب و کار'],leilamhrb,2523,106476
16,280653,"['سلامت', 'مواد غذایی']",Aidameftah,9640,102451
17,264917,['مسکن'],SinaShoormasti,21613,96580
18,303215,['هیچکدام'],aliekhlassi,31943,93359
19,303515,"['پول مفت', 'تکنولوژی']",jamesmp77,26476,111218
20,286441,['هیچکدام'],jamesmp77,1874,52621
21,300355,"['زیبایی', 'سلامت']",Aidameftah,18797,109948
22,299767,['پوشاک'],aliekhlassi,33191,109302
23,303408,['هیچکدام'],jamesmp77,228,111149
24,279361,"['سلامت', 'تناسب اندام', 'زیبایی']",Ronakshakeri,18761,101808
25,295381,['کسب و کار'],leilamhrb,34731,108165
26,296082,['کسب و کار'],SinaShoormasti,1028,61437
27,305842,['سلامت'],Aidameftah,25801,95295
28,109450,['کسب و کار'],SinaShoormasti,11583,31968
29,295378,['بورس'],aliekhlassi,34731,108164
30,294937,"['تکنولوژی', 'کسب و کار']",leilamhrb,12386,85184
31,280461,['تکنولوژی'],Ronakshakeri,28415,102336
32,296059,"['مسکن', 'گردشگری']",Aidameftah,23224,103656
33,247528,['هیچکدام'],jamesmp77,20940,88632
34,290145,['ارزدیجیتال'],SinaShoormasti,20940,88640
35,299238,['تکنولوژی'],havaliza,36165,109489
36,159655,"['کسب و کار', 'لوازم منزل']",abootsZz,12660,51661
37,298850,"['زنانه', 'کسب و کار', 'سلامت']",leilamhrb,18762,109364
38,298298,['زنانه'],jamesmp77,35216,109228
39,284988,"['بورس', 'ارزدیجیتال', 'کسب و کار']",Aidameftah,228,104154
40,307634,"['سلامت', 'زنانه']",Ronakshakeri,9177,112379
41,298592,['تکنولوژی'],SinaShoormasti,26476,109280
42,263109,"['ارزدیجیتال', 'بورس']",abootsZz,32312,95959
43,293274,['هیچکدام'],aliekhlassi,3930,107439
44,303213,"['بورس', 'پول مفت']",havaliza,31943,93359
45,297795,"['سلامت', 'زیبایی']",jamesmp77,18762,108981
46,303339,"['پول مفت', 'کسب و کار', 'خودرو']",Ronakshakeri,28435,111126
47,303343,['سلبریتی'],SinaShoormasti,35185,111129
48,251998,"['کسب و کار', 'تکنولوژی']",leilamhrb,2533,90505
49,254874,['سلامت'],abootsZz,31132,88697
50,302312,['کسب و کار'],SinaShoormasti,5577,89176
51,252844,['گردشگری'],Aidameftah,97,91997
52,264586,['گردشگری'],aliekhlassi,23224,95124
53,236827,"['سلامت', 'زیبایی']",havaliza,13029,86010
54,294887,['خودرو'],SinaShoormasti,28435,94324
55,296094,"['کسب و کار', 'بورس', 'ارزدیجیتال']",Ronakshakeri,1028,61437
56,303944,['هیچکدام'],ZbidOkiZ,2200,110284
57,261055,"['سلامت', 'تناسب اندام']",havaliza,31132,95296
58,220734,['سلامت'],Mehdi_rjbl,25801,72418
59,152475,['سلامت'],ZbidOkiZ,1981,48534
60,283099,['زیبایی'],abootsZz,34736,102020
61,307291,"['مردانه', 'پوشاک']",SinaShoormasti,13779,96171
62,302427,['تکنولوژی'],Mehdi_rjbl,2523,110764
63,300672,"['پول مفت', 'بورس']",havaliza,17577,110119
64,296003,['تکنولوژی'],SinaShoormasti,26476,108406
65,307675,['بورس'],ZbidOkiZ,34731,112718
66,279983,['سلامت'],ZbidOkiZ,31943,93337
67,305996,"['زیبایی', 'زنانه']",Elahe_rahmati76,7031,112271
68,305099,"['لوازم منزل', 'زنانه']",SinaShoormasti,28129,111814
69,95424,['لوازم منزل'],havaliza,1139,25113
70,257168,"['مسکن', 'پول مفت', 'کسب و کار']",Ronakshakeri,32277,93782
71,303405,['بورس'],ZbidOkiZ,228,111156
72,252036,"['بورس', 'پول مفت', 'کسب و کار']",Ronakshakeri,16929,91853
73,307011,"['زنانه', 'پوشاک', 'زیبایی']",Hamedabedini013,36730,109206
74,305822,"['زیبایی', 'زنانه']",sadegh_majidi,24865,112167
75,295869,"['زیبایی', 'سلامت']",donkrmi,18789,108357
76,265802,"['کسب و کار', 'تکنولوژی']",leilamhrb,32874,96905
77,306917,['هیچکدام'],Ronakshakeri,15740,112516
78,282395,['هیچکدام'],Elahe_rahmati76,34010,103006
79,246911,['تناسب اندام'],alimurek,10128,90083
80,304214,"['زیبایی', 'زنانه', 'سلبریتی']",Hamedabedini013,25599,111458
81,307651,['کسب و کار'],donkrmi,20940,112693
82,304712,"['کنکور', 'پول مفت', 'کسب و کار']",Ronakshakeri,18608,110097
83,298414,['سلامت'],Elahe_rahmati76,25801,108782
84,305075,['خودرو'],Mehdi_rjbl,28435,81248
85,261051,['سلامت'],leilamhrb,31132,95296
86,186676,['لوازم منزل'],alimurek,22230,61257
87,106929,['هیچکدام'],ZbidOkiZ,2607,29169
88,246079,"['سلامت', 'زنانه', 'مردانه']",Hamedabedini013,16211,89736
89,304012,['کسب و کار'],Elahe_rahmati76,2523,111363
90,280922,['تکنولوژی'],Mehdi_rjbl,29085,102578
91,231846,"['سلامت', 'سلبریتی']",sadegh_majidi,26037,84082
92,303685,"['کسب و کار', 'تکنولوژی']",donkrmi,33079,111282
93,287445,['پول مفت'],alimurek,9274,105315
94,246507,['مسکن'],Mehdi_rjbl,31478,89932
95,294589,['مسکن'],ZbidOkiZ,32277,107887
96,133550,['پول مفت'],aliekhlassi,13489,41245
97,291267,['خودرو'],Mehdi_rjbl,28435,81248
98,307246,"['ارزدیجیتال', 'تکنولوژی']",donkrmi,16699,103110
99,302454,"['پول مفت', 'ارزدیجیتال', 'کسب و کار']",sadegh_majidi,11838,85885
0,190117,"['تکنولوژی', 'کسب و کار']",Ronakshakeri,22535,65071
1,299979,"['پول مفت', 'هیچکدام']",Hamedabedini013,36606,109786
2,307603,['کسب و کار'],alimurek,22727,112687
3,300469,"['کسب و کار', 'خودرو']",donkrmi,59,84630
4,299286,['زیبایی'],kianarajabi,28415,109495
5,305572,"['مردانه', 'زیبایی']",Ronakshakeri,6101,52670
6,95036,"['مردانه', 'زنانه']",Elahe_rahmati76,8444,24973
7,304831,['ارزدیجیتال'],sadegh_majidi,16699,106957
8,242711,['مهاجرت'],Mehdi_rjbl,12715,88335
9,305500,"['ارزدیجیتال', 'کسب و کار']",Ronakshakeri,36137,112038
10,303804,"['پوشاک', 'زیبایی', 'زنانه', 'مردانه']",ZbidOkiZ,20976,109109
11,304407,"['مردانه', 'زیبایی']",Hamedabedini013,17012,111498
12,300958,"['ارزدیجیتال', 'پول مفت', 'کسب و کار']",Elahe_rahmati76,16699,103112
13,246081,"['زنانه', 'پوشاک']",ZbidOkiZ,16211,89737
14,232290,"['پول مفت', 'کسب و کار']",donkrmi,13489,84264
15,276731,"['سلامت', 'زنانه', 'زیبایی']",Ronakshakeri,5941,101021
16,256235,['کسب و کار'],sadegh_majidi,59,84630
17,271679,['گردشگری'],Mehdi_rjbl,3527,22941
18,280459,"['تکنولوژی', 'کسب و کار']",Elahe_rahmati76,28415,102338
19,303411,"['پول مفت', 'بورس']",donkrmi,228,111150
20,285188,['کسب و کار'],M_Pakand,20085,104248
21,300136,['کنکور'],ZbidOkiZ,19511,109858
22,286953,"['زیبایی', 'زنانه', 'مردانه']",Elahe_rahmati76,26416,83742
23,297191,"['پوشاک', 'زیبایی', 'مردانه', 'زنانه']",Hamedabedini013,762,99140
24,289527,['ارزدیجیتال'],Mehdi_rjbl,228,106101
25,182128,['تکنولوژی'],M_Pakand,2126,52874
26,82646,"['سلامت', 'زیبایی']",donkrmi,7058,19746
27,81342,['خودرو'],Elahe_rahmati76,4245,19213
28,300353,['مواد غذایی'],sadegh_majidi,28415,109947
29,284562,['ارزدیجیتال'],M_Pakand,1507,103600
30,301227,['هیچکدام'],alimurek,2200,90606
31,302933,"['سلامت', 'زنانه', 'مردانه', 'زیبایی']",ZbidOkiZ,85,110923
32,289416,"['تکنولوژی', 'کسب و کار']",kianarajabi,501,106096
33,307279,"['تکنولوژی', 'پول مفت', 'ارزدیجیتال', 'کسب و کار']",BardiaMohammadii,89,99650
34,305267,['لوازم منزل'],sadegh_majidi,7106,111945
35,300410,"['پوشاک', 'کودک']",Mehdi_rjbl,33992,109968
36,295362,"['ارزدیجیتال', 'پول مفت', 'تکنولوژی', 'کسب و کار']",Hamedabedini013,34731,108159
37,300255,['مواد غذایی'],alimurek,28415,109901
38,300359,['سلامت'],BardiaMohammadii,18797,109951
39,307673,['لوازم منزل'],alimurek,37590,112715
40,295255,['کنکور'],donkrmi,28240,107094
41,302929,"['زنانه', 'زیبایی']",kianarajabi,85,110919
42,288343,"['ارزدیجیتال', 'پول مفت']",ZbidOkiZ,228,105444
43,290468,['سلامت'],sadegh_majidi,2523,106477
44,295600,"['سلامت', 'زنانه', 'مردانه', 'زیبایی']",ZbidOkiZ,13029,108248
45,296939,"['زیبایی', 'تناسب اندام', 'سلامت']",Hamedabedini013,12876,86260
46,303925,"['تناسب اندام', 'مردانه']",kianarajabi,23636,108974
47,290929,"['تکنولوژی', 'کسب و کار']",alimurek,3771,106676
48,303686,['سلامت'],donkrmi,19583,111283
49,158863,"['زیبایی', 'سلامت']",Amirhbv,18152,50888
50,307162,['تکنولوژی'],Mehdi_rjbl,27624,94402
51,307215,['سلبریتی'],Hamedabedini013,2200,90606
52,252406,['مهاجرت'],kianarajabi,97,91997
53,291130,"['زیبایی', 'سلامت']",sadegh_majidi,18762,106762
54,306783,['سلامت'],alimurek,28831,105387
55,215019,['لوازم منزل'],Mehdi_rjbl,1139,77129
56,85275,"['مواد غذایی', 'سلامت']",sobihash,3957,20916
57,299483,"['ارزدیجیتال', 'پول مفت', 'بورس', 'کسب و کار']",Hamedabedini013,30319,107134
58,290475,['مواد غذایی'],Mehdi_rjbl,2523,106476
59,263992,['زیبایی'],alimurek,28831,96336
60,307674,['کنکور'],hodaarr,13961,112713
61,307186,['تکنولوژی'],sobihash,8289,112548
62,301412,['کسب و کار'],sadegh_majidi,20457,110421
63,302873,"['مواد غذایی', 'زیبایی', 'تناسب اندام']",Hamedabedini013,31970,92765
64,304501,['کسب و کار'],kianarajabi,29,111533
65,248014,['هیچکدام'],hodaarr,2533,90505
66,297970,['کسب و کار'],ZbidOkiZ,36346,109080
67,302791,['خودرو'],Hamedabedini013,28435,94324
68,278182,"['زیبایی', 'سلامت', 'زنانه', 'مردانه']",ZbidOkiZ,31626,101291
69,305457,['ارزدیجیتال'],Mehdi_rjbl,36137,111928
70,257733,"['پول مفت', 'بورس']",kianarajabi,13489,92165
71,297183,['پوشاک'],Hamedabedini013,762,99140
72,300616,"['خودرو', 'هیچکدام']",alimurek,29533,110082
73,240808,"['مسکن', 'کسب و کار']",sadegh_majidi,16549,87353
74,303350,['تناسب اندام'],kianarajabi,85,111138
75,262359,['مواد غذایی'],sobihash,2523,95764
76,298187,"['زیبایی', 'سلامت']",hodaarr,28831,105385
77,305754,['بورس'],ZbidOkiZ,31943,93343
78,302932,"['زیبایی', 'سلامت']",Mehdi_rjbl,85,110922
79,304781,['تکنولوژی'],alimurek,37246,111372
80,264269,['هیچکدام'],Hamedabedini013,31613,95185
81,229113,['مواد غذایی'],kianarajabi,2523,82887
82,285852,['ارزدیجیتال'],mraghdasi,228,104154
83,306395,['سلامت'],sadegh_majidi,9177,112379
84,305399,"['سلامت', 'مردانه']",hodaarr,9177,111899
85,300361,"['زیبایی', 'زنانه']",sobihash,18797,109954
86,305869,"['زیبایی', 'زنانه']",alimurek,37203,112189
87,286579,['پوشاک'],Mt4heri,8713,104495
88,290875,"['پول مفت', 'کسب و کار']",leilamhrb,21824,106645
89,300816,"['ارزدیجیتال', 'بورس', 'پول مفت']",Mahdi_Jfri,36777,110173
90,307411,"['زیبایی', 'زنانه']",alimurek,11400,112647
91,279375,['هیچکدام'],Mehdi_rjbl,20085,101809
92,285846,"['زیبایی', 'زنانه']",Hamedabedini013,26416,104549
93,307240,"['کنکور', 'کسب و کار']",hodaarr,9847,112600
94,183276,"['کسب و کار', 'پول مفت']",Mt4heri,6745,62023
95,218537,['هیچکدام'],sadegh_majidi,7701,78595
96,279950,['هیچکدام'],aliekhlassi,27624,94402
97,289529,"['ارزدیجیتال', 'تکنولوژی', 'کسب و کار']",sobihash,228,106101
98,272136,"['هیچکدام', 'مردانه']",alimurek,13779,96175
99,262347,"['کسب و کار', 'مواد غذایی']",Hamedabedini013,2523,95697
0,287896,"['مسکن', 'کسب و کار']",sadegh_majidi,24927,105275
1,300412,['مواد غذایی'],Mt4heri,28415,109974
2,300474,"['مواد غذایی', 'کسب و کار']",hodaarr,59,84630
3,303288,['هیچکدام'],imanmalekian,26476,111086
4,265665,['کسب و کار'],alimurek,31613,95185
5,233719,['مواد غذایی'],sadegh_majidi,4083,84829
6,305066,['کسب و کار'],Hamedabedini013,2468,111812
7,240231,"['مسکن', 'کسب و کار']",ZbidOkiZ,8626,23566
8,192038,['سلامت'],Mehdi_rjbl,11205,59184
9,306894,"['کسب و کار', 'مسکن']",sobihash,27230,112492
10,89789,['گردشگری'],alimurek,3527,22940
11,300478,['کسب و کار'],Mt4heri,59,84630
12,129725,['مواد غذایی'],Mehdi_rjbl,14715,39633
13,303306,['تکنولوژی'],Hamedabedini013,26476,111100
14,257594,['کسب و کار'],alimurek,4198,93997
15,307241,['مواد غذایی'],sadegh_majidi,15535,112601
16,288984,['کودک'],imanmalekian,10847,105939
17,306248,['پوشاک'],aliekhlassi,762,112220
18,306081,"['ارزدیجیتال', 'پول مفت', 'کسب و کار']",hodaarr,29264,103109
19,164902,['هیچکدام'],Mt4heri,14503,53666
20,307397,"['زیبایی', 'زنانه', 'سلامت']",sobihash,11380,96321
21,292712,['مسکن'],alimurek,32277,107264
22,296785,['سلامت'],ZbidOkiZ,11920,31234
23,274326,['هیچکدام'],Mehdi_rjbl,2200,40400
24,306866,['کسب و کار'],Hamedabedini013,8222,111587
25,288441,['لوازم منزل'],Mt4heri,13781,89594
26,156026,"['زیبایی', 'سلامت', 'زنانه', 'مردانه']",hodaarr,18789,50208
27,281634,"['زیبایی', 'سلامت']",sobihash,12876,100859
28,295626,"['زیبایی', 'سلامت']",sadegh_majidi,13029,91437
29,129749,['تکنولوژی'],alimurek,1649,39666
30,155546,['تناسب اندام'],Mehdi_rjbl,18761,50004
31,294696,['کسب و کار'],Mt4heri,30145,92234
32,301611,['مهاجرت'],alimurek,36127,107753
33,301545,"['ارزدیجیتال', 'بورس']",Hamedabedini013,17577,110432
34,300537,['ارزدیجیتال'],sadegh_majidi,16699,103110
35,286186,['لوازم منزل'],Mehdi_rjbl,892,104727
36,218514,"['کسب و کار', 'تکنولوژی']",Mt4heri,1807,78578
37,283961,['مواد غذایی'],aliekhlassi,4098,103696
38,256665,['گردشگری'],sobihash,97,92281
39,251999,['تکنولوژی'],hodaarr,2533,90476
40,306718,['سلامت'],Hamedabedini013,18868,112269
41,297913,['ارزدیجیتال'],Mt4heri,36137,108822
42,300365,"['زیبایی', 'سلامت']",Mehdi_rjbl,18797,109956
43,291273,"['هیچکدام', 'لوازم منزل']",alimurek,28886,106658
44,303803,['پوشاک'],abootsZz,20976,109109
45,301734,['مواد غذایی'],ZbidOkiZ,4766,74752
46,266974,['ارزدیجیتال'],abootsZz,32312,95963
47,279990,['هیچکدام'],mraghdasi,31943,93337
48,178114,"['پوشاک', 'زنانه']",Mehdi_rjbl,1672,59052
49,306169,"['کسب و کار', 'تکنولوژی']",Hamedabedini013,17028,112311
50,306301,['هیچکدام'],sadegh_majidi,14433,112325
51,257183,['مسکن'],Mehdi_rjbl,32277,93792
52,281322,['هیچکدام'],alimurek,33200,102707
53,306323,"['تکنولوژی', 'کسب و کار']",sobihash,26731,108529
54,279376,['کسب و کار'],Mehdi_rjbl,20085,101811
55,304787,['لوازم منزل'],hodaarr,28415,101370
56,306026,['ارزدیجیتال'],alimurek,24101,112283
57,304586,"['کسب و کار', 'مواد غذایی']",Hamedabedini013,4766,74752
58,307086,['کسب و کار'],alimurek,29,112563
59,305239,['سلامت'],ZbidOkiZ,33179,98861
60,278841,['سلامت'],sadegh_majidi,12072,101426
61,285155,['سلامت'],alimurek,26180,99406
62,307387,"['زیبایی', 'سلامت', 'زنانه']",faezeh76ghf,5885,112642
63,305028,['هیچکدام'],ZbidOkiZ,4766,48191
64,251580,['بورس'],alimurek,2165,87403
65,299961,"['کنکور', 'کسب و کار']",hodaarr,2607,109777
66,303688,"['سلامت', 'زنانه']",nast_mon,19583,111283
67,296112,"['مسکن', 'گردشگری']",sadegh_majidi,23224,103656
68,306782,['تکنولوژی'],alimurek,15488,111489
69,306190,['لوازم منزل'],mraghdasi,23924,112316
70,306170,['هیچکدام'],ZbidOkiZ,34524,112313
71,243975,"['زیبایی', 'سلامت', 'تناسب اندام']",Mahdi_Jfri,10128,88741
72,194365,['ارزدیجیتال'],ZbidOkiZ,19968,66976
73,218557,"['مردانه', 'زنانه', 'سلامت']",sadegh_majidi,14503,78605
74,303340,['هیچکدام'],alimurek,35185,111129
75,292005,"['سلامت', 'زیبایی']",nast_mon,31626,103974
76,256485,"['زیبایی', 'پوشاک', 'زنانه']",ZbidOkiZ,5857,93139
77,233618,['مواد غذایی'],Parisa_shrp,4766,48191
78,285842,"['بورس', 'پول مفت', 'ارزدیجیتال']",Mahdi_Jfri,228,104154
79,303410,"['بورس', 'پول مفت']",ZbidOkiZ,228,111154
80,295245,['هیچکدام'],alimurek,28240,107094
81,303704,['ارزدیجیتال'],Mahdi_Jfri,32312,95958
82,306869,"['زنانه', 'سلامت']",Hamedabedini013,28831,96336
83,235665,['لوازم منزل'],nast_mon,26037,85522
84,306715,['سلامت'],ZarghamiS,18868,112269
85,302685,['هیچکدام'],faezeh76ghf,4766,48191
86,264952,['گردشگری'],mraghdasi,31769,96594
87,302956,['خودرو'],sadegh_majidi,2258,108694
88,205116,"['پول مفت', 'کسب و کار']",Hamedabedini013,13489,72255
89,278833,['سلامت'],Parisa_shrp,12072,101425
90,206640,['لوازم منزل'],Hamedabedini013,12728,73031
91,148319,['سلامت'],ZbidOkiZ,4631,46982
92,299953,['کسب و کار'],nast_mon,4047,109765
93,299860,"['پول مفت', 'مردانه']",ZarghamiS,2437,109731
94,296067,"['سلامت', 'زیبایی']",sadegh_majidi,1981,48534
95,306717,['سلامت'],FAFAR76,18868,112269
96,297002,"['تناسب اندام', 'زیبایی']",faezeh76ghf,23636,85006
97,289173,['هیچکدام'],alimurek,31943,93359
98,240787,['کسب و کار'],mraghdasi,16549,77403
99,210642,['هیچکدام'],ZbidOkiZ,2533,70643
0,283455,['بورس'],Hamedabedini013,31943,93343
1,305611,['سلامت'],Parisa_shrp,37170,111106
2,297172,['سلامت'],Mehdi_rjbl,19583,76341
3,299888,"['تناسب اندام', 'زیبایی', 'سلامت']",sadegh_majidi,23636,84981
4,306716,['سلامت'],alimurek,18868,112269
5,294939,['تکنولوژی'],mraghdasi,12386,62970
6,302292,['پول مفت'],Armin_eb1995,30880,110189
7,296862,['تکنولوژی'],nast_mon,26731,108529
8,303890,"['تناسب اندام', 'سلامت']",Mehdi_rjbl,23636,108968
9,307088,['ارزدیجیتال'],FAFAR76,33610,112543
10,198607,['سلامت'],Parisa_shrp,7058,68950
11,305349,"['سلامت', 'زنانه', 'مردانه']",Hamedabedini013,5229,111011
12,303436,['تکنولوژی'],Mehdi_rjbl,26476,111189
13,305679,['تکنولوژی'],faezeh76ghf,19720,52593
14,239358,['کسب و کار'],alimurek,20391,86897
15,210306,['مواد غذایی'],Armin_eb1995,13171,74927
16,253753,['کسب و کار'],sadegh_majidi,6745,92569
17,300458,['گردشگری'],FAFAR76,23224,95182
18,263125,['ارزدیجیتال'],alimurek,32312,95961
19,271189,['مردانه'],ah_farahani,30046,98840
20,191911,['هیچکدام'],faezeh76ghf,3352,65880
21,307364,['هیچکدام'],mraghdasi,33421,100750
22,301044,['زیبایی'],sadegh_majidi,12876,100846
23,252221,['سلامت'],FAFAR76,9177,90199
24,285179,['هیچکدام'],nast_mon,20085,104240
25,280464,['کسب و کار'],Parisa_shrp,29842,102328
26,245866,"['سلامت', 'زنانه']",alimurek,10128,89627
27,297490,['خودرو'],Armin_eb1995,28435,94324
28,263632,['مسکن'],Hamedabedini013,32277,95843
29,241455,['گردشگری'],faezeh76ghf,3527,87809
30,283043,"['کسب و کار', 'پول مفت']",ah_farahani,3020,103302
31,290927,['ارزدیجیتال'],sadegh_majidi,18024,106671
32,279739,"['گردشگری', 'زیبایی', 'تناسب اندام', 'کسب و کار', 'زنانه', 'تکنولوژی']",Haniehbagheri73,20085,101816
33,307494,['کسب و کار'],alimurek,22727,112662
34,303526,['تکنولوژی'],nast_mon,26476,111222
35,292955,['سلامت'],FAFAR76,12072,107315
36,286438,['خودرو'],Hamedabedini013,18363,104864
37,166040,['بورس'],sadegh_majidi,16929,54193
38,171117,"['پوشاک', 'زنانه', 'مردانه']",ZbidOkiZ,20339,56644
39,301576,"['پوشاک', 'زنانه']",ah_farahani,8713,110441
40,244848,['زیبایی'],Haniehbagheri73,2894,89029
41,278826,['سلامت'],ZbidOkiZ,12072,101424
42,291195,['هیچکدام'],alimurek,2200,90606
43,295117,['کسب و کار'],Armin_eb1995,20085,108090
44,306107,['تکنولوژی'],FAFAR76,17028,111983
45,268467,"['کسب و کار', 'تکنولوژی']",mraghdasi,33138,97448
46,275428,"['زیبایی', 'زنانه']",ah_farahani,30241,100440
47,306222,['هیچکدام'],Hamedabedini013,4469,112183
48,199901,['خودرو'],alimurek,1278,69671
49,266359,['پول مفت'],FAFAR76,7979,92135
50,302923,"['تناسب اندام', 'زیبایی', 'سلبریتی']",sadegh_majidi,85,110912
51,308411,"['پوشاک', 'زنانه']",Armin_eb1995,619,113031
52,222980,"['سلامت', 'کودک']",nast_mon,11222,78491
53,279276,['خودرو'],ah_farahani,4759,74753
54,206641,['لوازم منزل'],alimurek,12728,73036
55,309621,"['لوازم منزل', 'زیبایی']",Hamedabedini013,37170,113480
56,224754,['کنکور'],FAFAR76,23706,81094
57,243230,['کسب و کار'],mraghdasi,28281,88558
58,290913,"['پول مفت', 'ارزدیجیتال', 'کسب و کار']",Ronakshakeri,31798,106667
59,245527,"['کسب و کار', 'زنانه']",Armin_eb1995,31352,89495
60,256307,['تکنولوژی'],sadegh_majidi,2398,90267
61,308211,"['کنکور', 'پول مفت']",Hamedabedini013,15367,112930
62,307111,['هیچکدام'],nast_mon,29,112569
63,301321,['سلامت'],FAFAR76,32445,110340
64,308230,['پول مفت'],ZbidOkiZ,15367,112940
65,299715,['پول مفت'],sadegh_majidi,34599,109667
66,308314,['کسب و کار'],Hamedabedini013,8532,109188
67,290928,['ارزدیجیتال'],FAFAR76,18024,106672
68,297873,"['سلبریتی', 'زیبایی']",ah_farahani,23976,68274
69,303275,['پوشاک'],Mehdi_rjbl,26037,111080
70,294803,['لوازم منزل'],Ronakshakeri,23182,107927
71,308877,"['سلامت', 'زیبایی']",mraghdasi,7058,112155
72,239843,['زنانه'],Armin_eb1995,20491,87084
73,286079,"['کسب و کار', 'لوازم منزل']",Hamedabedini013,35438,104661
74,305256,['خودرو'],FAFAR76,31461,111927
75,308570,"['زنانه', 'سلامت', 'زیبایی']",nast_mon,18762,113095
76,303689,"['سلامت', 'کسب و کار']",leilamhrb,19583,111283
77,250393,['هیچکدام'],ah_farahani,1591,91243
78,272223,['تکنولوژی'],sadegh_majidi,26162,99248
79,308186,['سلامت'],mraghdasi,25801,81741
80,113626,['کودک'],Hamedabedini013,10560,30922
81,305618,['پوشاک'],ah_farahani,762,112063
82,304844,['سلامت'],nast_mon,23302,111689
83,261489,['تکنولوژی'],FAFAR76,11356,95457
84,188960,['خودرو'],sadegh_majidi,3019,64507
85,199894,"['لوازم منزل', 'زنانه']",Ronakshakeri,1278,69668
86,308436,"['پوشاک', 'کسب و کار']",leilamhrb,619,113051
87,307778,['ارزدیجیتال'],FAFAR76,9050,112764
88,302282,['مواد غذایی'],mraghdasi,32715,110698
89,305851,['ارزدیجیتال'],ah_farahani,18005,112184
90,296130,"['گردشگری', 'مسکن', 'کسب و کار']",Hamedabedini013,23224,103642
91,307833,['سلامت'],Mehdi_rjbl,36557,111994
92,230165,['تکنولوژی'],sadegh_majidi,698,73318
93,300102,['ارزدیجیتال'],FAFAR76,33951,109831
94,308571,"['سلامت', 'زیبایی', 'زنانه']",nast_mon,18762,113097
95,264119,"['سلامت', 'مواد غذایی']",Hamedabedini013,13862,96374
96,299668,['پول مفت'],FAFAR76,34599,109664
97,308259,"['تکنولوژی', 'کسب و کار']",sadegh_majidi,22928,91264
98,276178,['سلامت'],FAFAR76,3704,78375
99,308303,"['کسب و کار', 'تکنولوژی']",leilamhrb,37330,112968
0,307903,['زیبایی'],kafahmadi,7031,112271
